                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5979,                 5.4457,                  7.163,                 4.1617,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.3779,                 5.7074,                  12.06,                 3.8212,              5.001e-05,              5.001e-05,              5.001e-05
                      1,                 6.0591,                 5.8473,                 8.3728,                 4.8341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.6517,                 4.7558,                 10.421,                 2.6439,             0.00011657,             0.00011657,             0.00011657
                      2,                 5.3017,                 4.5611,                 5.4966,                 3.1317,                0.00249,                0.27778,                 0.0023,                0.00066,                0.00413,                0.38889,                0.00337,                0.00097,                 3.2229,                 3.7425,                 21.966,                 1.2668,             0.00018301,             0.00018301,             0.00018301
                      3,                 3.6636,                 3.1884,                 5.1541,                 1.9422,                0.00735,                0.01852,                0.00051,                 0.0002,                0.00331,                0.03704,                0.00092,                0.00012,                 4.3288,                  2.464,                 9.9994,                 1.4191,             0.00024931,             0.00024931,             0.00024931
                      4,                  3.252,                 3.5794,                 3.7726,                 1.7502,                0.51823,                0.12963,                0.01149,                0.00266,                0.01276,                0.16616,                0.01033,                0.00358,                 3.7926,                 5.8005,                 46.839,                 1.4359,             0.00031548,             0.00031548,             0.00031548
                      5,                 2.9455,                 3.2013,                 2.9472,                 1.6886,                0.02345,                0.07407,                0.01391,                0.00381,                0.01007,                0.16667,                0.01232,                0.00264,                 4.3743,                 2.6371,                 36.157,                  1.814,             0.00038151,             0.00038151,             0.00038151
                      6,                 3.0635,                  2.605,                 2.8339,                 1.6586,                0.09853,                0.37037,                 0.0462,                0.00687,                0.15114,                0.27778,                0.05929,                0.01171,                 3.8462,                 2.7498,                 55.155,                 1.4259,             0.00044742,             0.00044742,             0.00044742
                      7,                 3.0526,                 2.5021,                  2.945,                 1.5987,                0.00306,                 0.2037,                0.00165,                0.00038,                 0.0053,                0.14815,                0.00347,                0.00101,                 4.4075,                  4.203,                  182.1,                 1.3324,             0.00051319,             0.00051319,             0.00051319
                      8,                 2.9464,                 2.9019,                 2.8722,                 1.5947,                0.00203,                0.14815,                0.00111,                0.00028,                0.00131,                0.11111,                0.00071,                0.00027,                 4.5844,                   3.17,                  285.9,                 1.5631,             0.00057883,             0.00057883,             0.00057883
                      9,                 2.7694,                 2.9905,                 2.6892,                 1.6158,                0.00252,                0.18519,                 0.0012,                0.00029,                 0.0037,                0.22222,                0.00226,                0.00059,                 4.4918,                 3.0636,                    inf,                 1.6177,             0.00064434,             0.00064434,             0.00064434
