                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6515,                 4.5659,                 3.1743,                0.00325,                0.17343,                0.00416,                 0.0012,                  4.177,                 4.8557,                   3.69,                  6e-05,                  6e-05,                  6e-05
                      1,                 3.1545,                 4.1153,                 2.8731,                0.08303,                0.32846,                0.07848,                0.02224,                 2.9592,                 12.843,                 3.1186,             0.00012987,             0.00012987,             0.00012987
                      2,                 2.7115,                 3.1415,                 2.4881,                0.07004,                 0.4981,                0.07497,                0.01749,                   3.08,                 5.8829,                 3.3698,              0.0001996,              0.0001996,              0.0001996
                      3,                 2.4726,                 2.9949,                 2.3777,                0.03504,                0.11334,                0.01885,                0.00846,                 3.0653,                 41.029,                 3.5798,              0.0002692,              0.0002692,              0.0002692
                      4,                 2.3726,                 2.9733,                 2.2496,                0.06904,                0.22932,                0.08328,                0.02798,                 3.0998,                  29.68,                 3.6577,             0.00033865,             0.00033865,             0.00033865
                      5,                 2.4646,                 2.7992,                 2.2403,                0.04154,                0.30051,                0.02664,                0.01111,                 3.2659,                    inf,                 4.0085,             0.00040797,             0.00040797,             0.00040797
                      6,                 2.3557,                 2.7728,                 2.2588,                0.02813,                0.31275,                0.01887,                0.00778,                 3.0844,                    inf,                 3.7243,             0.00047715,             0.00047715,             0.00047715
                      7,                 2.4487,                 2.6088,                 2.2648,                0.02813,                0.31275,                0.01887,                0.00778,                 3.2208,                    inf,                 4.2821,             0.00054619,             0.00054619,             0.00054619
                      8,                  2.346,                 2.6614,                 2.2359,                0.02813,                0.31275,                0.01887,                0.00778,                 3.1134,                    inf,                 4.8384,             0.00061509,             0.00061509,             0.00061509
                      9,                 2.3357,                  2.556,                 2.2498,                0.02813,                0.31275,                0.01887,                0.00778,                 3.0169,                    inf,                 3.2068,             0.00068385,             0.00068385,             0.00068385
                     10,                 2.4148,                 2.6625,                 2.3125,                0.02232,                0.08366,                0.01297,                0.00559,                 2.8282,                    inf,                 3.1606,             0.00075248,             0.00075248,             0.00075248
                     11,                 2.2367,                 2.6971,                 2.2506,                0.38429,                0.19726,                0.06362,                0.02056,                 2.8488,                 23.489,                 3.0269,             0.00082096,             0.00082096,             0.00082096
                     12,                 2.3781,                 2.6935,                 2.2654,                0.22847,                0.15904,                0.07246,                0.02005,                 2.9276,                 9.4524,                 3.1381,             0.00088931,             0.00088931,             0.00088931
                     13,                 2.3413,                 2.6629,                 2.2747,                0.22847,                0.15904,                0.07246,                0.02005,                 2.9276,                 9.4524,                 3.1381,             0.00095752,             0.00095752,             0.00095752
                     14,                 2.3039,                 2.6437,                 2.2743,                 0.0146,                0.41109,                0.01917,                0.00622,                 2.7152,                 11.068,                 2.8887,             0.00098614,             0.00098614,             0.00098614
                     15,                 2.2374,                 2.7311,                 2.2238,                 0.0425,                0.30817,                0.02905,                 0.0083,                 2.7164,                 18.523,                 3.0003,             0.00098614,             0.00098614,             0.00098614
                     16,                 2.3422,                 2.5288,                 2.2395,                0.19287,                0.35587,                0.03094,                0.01021,                 2.7485,                 11.853,                 2.9731,             0.00098515,             0.00098515,             0.00098515
                     17,                 2.3201,                 2.6168,                  2.299,                0.21228,                0.12786,                0.06355,                0.02257,                 2.6599,                 3.3836,                 2.7786,             0.00098416,             0.00098416,             0.00098416
                     18,                 2.3444,                 2.7802,                 2.2318,                0.36029,                0.19042,                 0.1319,                0.05124,                 2.7262,                 3.2457,                 2.8228,             0.00098317,             0.00098317,             0.00098317
                     19,                  2.273,                 2.7103,                 2.2439,                0.27153,                 0.2431,                0.10808,                0.03401,                  2.679,                 3.5908,                 2.8202,             0.00098218,             0.00098218,             0.00098218
                     20,                 2.2354,                 2.6238,                 2.1777,                0.23423,                 0.1221,                0.06731,                0.02292,                 2.7601,                 3.9951,                 2.8317,             0.00098119,             0.00098119,             0.00098119
                     21,                 2.2464,                 2.4454,                  2.216,                0.23423,                 0.1221,                0.06731,                0.02292,                 2.7601,                 3.9951,                 2.8317,              0.0009802,              0.0009802,              0.0009802
                     22,                 2.2873,                  2.726,                 2.2966,                0.07212,                 0.1035,                 0.0586,                0.01874,                 2.7978,                 4.3883,                  2.984,             0.00097921,             0.00097921,             0.00097921
                     23,                 2.2892,                 2.5286,                 2.2255,                0.26563,                0.31432,                0.11971,                0.04756,                  2.772,                 4.0072,                 2.8905,             0.00097822,             0.00097822,             0.00097822
                     24,                 2.3403,                 2.5477,                 2.3424,                0.07116,                0.35112,                0.08937,                 0.0264,                 2.8037,                 4.0939,                 2.9635,             0.00097723,             0.00097723,             0.00097723
                     25,                 2.2452,                  2.468,                 2.1783,                0.27329,                0.21453,                0.08914,                0.02686,                  2.789,                 3.3863,                 2.9598,             0.00097624,             0.00097624,             0.00097624
                     26,                 2.1516,                 2.3563,                 2.1624,                  0.218,                    0.1,                0.07458,                0.02554,                 2.9494,                 3.1575,                 2.9757,             0.00097525,             0.00097525,             0.00097525
